Timestamp,Track,Artist,Album Cover
00:00:00,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:00:11,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:00:22,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:00:33,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:00:44,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:00:55,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:01:06,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:01:17,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:01:28,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:01:39,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:01:50,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:02:01,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:02:12,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:02:23,High Life,Daft Punk,https://is1-ssl.mzstatic.com/image/thumb/Features125/v4/9e/f3/19/9ef31946-26de-0a95-c771-30457c5c01ec/dj.huxlnxyy.jpg/1400x1400cc.png
00:02:34,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:02:45,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:02:56,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:03:07,Breaking Minds,Elio Riso & Lucio Spain,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/84/ff/89/84ff892e-9384-d795-30a8-88b616b41f08/cover.jpg/1400x1400cc.png
00:03:18,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:03:29,Shades,Laughing Man & Viktor Udvari,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/2e/72/86/2e7286c5-c151-4302-4c00-2152efa3c318/cover.jpg/1400x1400cc.png
00:03:40,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:03:51,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:04:02,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:04:13,Breaking Minds,Elio Riso & Lucio Spain,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/84/ff/89/84ff892e-9384-d795-30a8-88b616b41f08/cover.jpg/1400x1400cc.png
00:04:24,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:04:35,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:04:46,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:04:57,Alabama Blues (Todd Edwards Dub Mix),St Germain,https://is1-ssl.mzstatic.com/image/thumb/Music/94/54/d5/mzi.adqgizrk.jpg/1400x1400cc.png
00:05:08,Breaking Minds,Elio Riso & Lucio Spain,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/84/ff/89/84ff892e-9384-d795-30a8-88b616b41f08/cover.jpg/1400x1400cc.png
00:05:19,Don't Call Me Baby,Madison Avenue,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/3c/81/e4/3c81e423-7b97-7eb7-c9dc-20d570669811/9330461029977.png/1400x1400cc.png
00:05:30,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:05:41,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:05:52,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:03,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:14,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:25,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:36,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:47,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:06:58,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:07:09,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:07:20,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:07:31,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:07:42,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:07:53,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:04,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:15,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:26,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:37,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:48,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:08:59,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:09:10,You Are My High,DeMoN,https://is1-ssl.mzstatic.com/image/thumb/Music/db/75/35/mzi.kuwurife.jpg/1400x1400cc.png
00:09:21,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:09:32,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:09:43,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:09:54,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:10:05,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:10:16,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:10:27,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:10:38,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:10:49,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:11:00,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:11:11,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:11:22,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:11:33,R U Sleeping (Todd Edwards Remix),Indo,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/00/e0/30/00e03099-c35b-2a5e-3895-b652dd485e4f/5055283404620.jpg/1400x1400cc.png
00:11:44,Where's Your Head At (Wh0 Remix - Mixed),Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7f/ee/62/7fee6293-efb4-5b48-b54d-c2dccc699169/cover.jpg/1400x1400cc.png
00:11:55,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:12:06,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:12:17,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:12:28,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:12:39,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:12:50,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:01,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:12,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:23,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:34,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:45,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:13:56,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:14:07,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:14:18,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:14:29,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:14:40,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:14:51,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:02,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:13,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:24,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:35,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:46,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:15:57,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:16:08,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:16:19,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:16:30,Where’s Your Head At,Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/36/05/b6/3605b6c7-94b8-097c-ae15-fd936c7a56be/634904014384.png/1400x1400cc.png
00:16:41,Where's Your Head At (Wh0 Remix - Mixed),Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7f/ee/62/7fee6293-efb4-5b48-b54d-c2dccc699169/cover.jpg/1400x1400cc.png
00:16:52,Where's Your Head At (Wh0 Remix - Mixed),Basement Jaxx,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7f/ee/62/7fee6293-efb4-5b48-b54d-c2dccc699169/cover.jpg/1400x1400cc.png
00:17:03,Jump To My Beat,Wildchild,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7e/b7/b3/7eb7b304-0410-2636-0117-289ed1feaa90/5025425210136.jpg/1400x1400cc.png
00:17:14,Delirious,Massimo Di Lena,https://is1-ssl.mzstatic.com/image/thumb/Music18/v4/2b/cb/15/2bcb1529-8a2b-f7fb-4b19-3bc9afb7ce5f/cover.jpg/1400x1400cc.png
00:17:25,Starman,Easy Star All-Stars & Maxi Priest,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/8a/f3/9b/8af39b0f-010a-1973-5001-180fd9e979c9/657481110089.jpg/1400x1400cc.png
00:17:36,Jump To My Beat,Wildchild,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/7e/b7/b3/7eb7b304-0410-2636-0117-289ed1feaa90/5025425210136.jpg/1400x1400cc.png
